Subject,Drug,Drug_Code,Baseline_Code,Press_Req,Rewards,OptOuts,Presses,Holds,Duration
sub_868,Baseline,A,1,80,5,5,400,5,20.9725
sub_868,Veh-Veh,A_Veh_Veh,0,10,5,5,50,27,17.71083333
sub_868,Veh-Veh,A_Veh_Veh,0,20,5,5,100,2,18.81383333
sub_868,Veh-Veh,A_Veh_Veh,0,40,5,5,200,1,20.96116667
sub_868,Veh-Veh,A_Veh_Veh,0,80,9,1,400,35,14.044
sub_868,.1Hal - Veh,B_Hal_Veh,0,10,5,5,50,1,18.67616667
sub_868,.1Hal - Veh,B_Hal_Veh,0,20,3,7,79,0,30.8435
sub_868,.1Hal - Veh,B_Hal_Veh,0,40,0,10,51,0,30.98316667
sub_868,.1Hal - Veh,B_Hal_Veh,0,80,1,9,142,0,30.8965
sub_868,.1Hal - .125KW,C_Hal_.125KW,0,10,5,5,50,101,19.031
sub_868,.1Hal - .125KW,C_Hal_.125KW,0,20,3,7,60,0,25.9355
sub_868,.1Hal - .125KW,C_Hal_.125KW,0,40,3,7,121,0,28.01866667
sub_868,.1Hal - .125KW,C_Hal_.125KW,0,80,1,9,81,0,32.06433333
sub_868,.1Hal-.5KW,D_Hal_.5KW,0,10,9,1,50,123,9.999666667
sub_868,.1Hal-.5KW,D_Hal_.5KW,0,20,5,5,100,2,17.29183333
sub_868,.1Hal-.5KW,D_Hal_.5KW,0,40,5,5,200,5,21.8205
sub_868,.1Hal-.5KW,D_Hal_.5KW,0,80,5,5,400,60,20.78116667
sub_869,Baseline,A,1,10,9,1,41,9,7.814333333
sub_869,Baseline,A,1,20,10,0,100,9,7.548
sub_869,Baseline,A,1,40,10,0,200,10,7.442666667
sub_869,Baseline,A,1,80,10,0,400,8,8.1295
sub_869,Veh-Veh,A_Veh_Veh,0,10,10,0,50,6,6.3705
sub_869,Veh-Veh,A_Veh_Veh,0,20,10,0,100,6,6.534333333
sub_869,Veh-Veh,A_Veh_Veh,0,40,10,0,200,5,7.021666667
sub_869,Veh-Veh,A_Veh_Veh,0,80,10,0,400,7,11.13783333
sub_869,.1Hal - Veh,B_Hal_Veh,0,10,10,0,50,5,6.924666667
sub_869,.1Hal - Veh,B_Hal_Veh,0,20,6,4,31,8,20.75566667
sub_869,.1Hal - Veh,B_Hal_Veh,0,40,5,5,1,9,25.88083333
sub_869,.1Hal - Veh,B_Hal_Veh,0,80,5,5,37,11,25.54116667
sub_869,.1Hal - .125KW,C_Hal_.125KW,0,10,10,0,50,9,10.51266667
sub_869,.1Hal - .125KW,C_Hal_.125KW,0,20,6,4,74,13,18.98416667
sub_869,.1Hal - .125KW,C_Hal_.125KW,0,40,4,6,10,6,23.4855
sub_869,.1Hal - .125KW,C_Hal_.125KW,0,80,4,6,1,4,25.16766667
sub_869,.1Hal-.5KW,D_Hal_.5KW,0,10,8,2,50,15,11.13616667
sub_869,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,20,9.865666667
sub_869,.1Hal-.5KW,D_Hal_.5KW,0,40,6,4,143,22,22.499
sub_869,.1Hal-.5KW,D_Hal_.5KW,0,80,5,5,81,10,18.914
sub_870,Baseline,A,1,10,10,0,50,8,6.5315
sub_870,Baseline,A,1,20,10,0,100,6,5.999166667
sub_870,Baseline,A,1,40,10,0,200,7,5.4765
sub_870,Baseline,A,1,80,10,0,400,5,6.268166667
sub_870,Veh-Veh,A_Veh_Veh,0,10,10,0,50,5,7.872666667
sub_870,Veh-Veh,A_Veh_Veh,0,20,10,0,100,7,5.969333333
sub_870,Veh-Veh,A_Veh_Veh,0,40,10,0,200,5,6.829666667
sub_870,Veh-Veh,A_Veh_Veh,0,80,9,1,400,7,9.828333333
sub_870,.1Hal - Veh,B_Hal_Veh,0,10,10,0,50,5,4.759333333
sub_870,.1Hal - Veh,B_Hal_Veh,0,20,10,0,100,8,6.724666667
sub_870,.1Hal - Veh,B_Hal_Veh,0,40,10,0,200,7,12.77283333
sub_870,.1Hal - Veh,B_Hal_Veh,0,80,6,4,209,7,22.679
sub_870,.1Hal - .125KW,C_Hal_.125KW,0,10,5,5,9,5,20.83966667
sub_870,.1Hal - .125KW,C_Hal_.125KW,0,20,10,0,100,9,8.6795
sub_870,.1Hal - .125KW,C_Hal_.125KW,0,40,10,0,200,11,11.4965
sub_870,.1Hal - .125KW,C_Hal_.125KW,0,80,10,0,400,6,14.36833333
sub_870,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,6,5.233166667
sub_870,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,7,7.772833333
sub_870,.1Hal-.5KW,D_Hal_.5KW,0,40,10,0,200,6,7.44
sub_870,.1Hal-.5KW,D_Hal_.5KW,0,80,10,0,400,9,8.576833333
sub_871,Baseline,A,1,10,9,1,50,10,9.014166667
sub_871,Baseline,A,1,20,10,0,100,15,8.7595
sub_871,Baseline,A,1,40,10,0,200,11,7.981666667
sub_871,Baseline,A,1,80,8,2,380,8,13.65683333
sub_871,Veh-Veh,A_Veh_Veh,0,10,10,0,50,13,8.143666667
sub_871,Veh-Veh,A_Veh_Veh,0,20,10,0,100,8,5.287166667
sub_871,Veh-Veh,A_Veh_Veh,0,40,10,0,200,6,8.6945
sub_871,Veh-Veh,A_Veh_Veh,0,80,10,0,400,8,14.86916667
sub_871,.1Hal - Veh,B_Hal_Veh,0,10,9,1,50,8,15.37816667
sub_871,.1Hal - Veh,B_Hal_Veh,0,20,6,4,50,6,21.14266667
sub_871,.1Hal - Veh,B_Hal_Veh,0,40,8,2,124,6,18.968
sub_871,.1Hal - Veh,B_Hal_Veh,0,80,5,5,58,6,21.85966667
sub_871,.1Hal - .125KW,C_Hal_.125KW,0,10,10,0,50,6,9.131333333
sub_871,.1Hal - .125KW,C_Hal_.125KW,0,20,10,0,100,5,8.506833333
sub_871,.1Hal - .125KW,C_Hal_.125KW,0,40,7,3,83,6,18.59066667
sub_871,.1Hal - .125KW,C_Hal_.125KW,0,80,9,1,324,10,18.04633333
sub_871,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,18,7.017
sub_871,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,17,10.07216667
sub_871,.1Hal-.5KW,D_Hal_.5KW,0,40,10,0,200,5,10.07166667
sub_871,.1Hal-.5KW,D_Hal_.5KW,0,80,5,5,155,7,23.70916667
sub_872,Baseline,A,1,10,10,0,50,7,9.050333333
sub_872,Baseline,A,1,20,10,0,100,60,10.47666667
sub_872,Baseline,A,1,40,10,0,200,9,9.308833333
sub_872,Baseline,A,1,80,8,2,332,6,13.93066667
sub_872,Veh-Veh,A_Veh_Veh,0,10,10,0,50,11,8.688666667
sub_872,Veh-Veh,A_Veh_Veh,0,20,10,0,100,5,8.026666667
sub_872,Veh-Veh,A_Veh_Veh,0,40,10,0,200,13,7.002833333
sub_872,Veh-Veh,A_Veh_Veh,0,80,10,0,400,11,13.283
sub_872,.1Hal - Veh,B_Hal_Veh,0,10,8,2,34,6,15.5625
sub_872,.1Hal - Veh,B_Hal_Veh,0,20,5,5,23,6,20.72883333
sub_872,.1Hal - Veh,B_Hal_Veh,0,40,5,5,20,7,22.57833333
sub_872,.1Hal - Veh,B_Hal_Veh,0,80,4,6,1,7,24.51466667
sub_872,.1Hal - .125KW,C_Hal_.125KW,0,10,5,5,21,5,19.69116667
sub_872,.1Hal - .125KW,C_Hal_.125KW,0,20,6,4,20,7,20.39616667
sub_872,.1Hal - .125KW,C_Hal_.125KW,0,40,5,5,1,8,20.07016667
sub_872,.1Hal - .125KW,C_Hal_.125KW,0,80,4,6,5,4,29.00266667
sub_872,.1Hal-.5KW,D_Hal_.5KW,0,10,10,0,50,14,8.286333333
sub_872,.1Hal-.5KW,D_Hal_.5KW,0,20,9,1,80,9,10.85966667
sub_872,.1Hal-.5KW,D_Hal_.5KW,0,40,8,2,130,7,17.78583333
sub_872,.1Hal-.5KW,D_Hal_.5KW,0,80,7,3,191,8,16.57266667
sub_873,Baseline,A,1,10,9,1,50,187,11.715
sub_873,Baseline,A,1,20,10,0,100,13,9.332
sub_873,Baseline,A,1,40,10,0,200,11,7.849
sub_873,Baseline,A,1,80,10,0,400,8,12.137
sub_873,Veh-Veh,A_Veh_Veh,0,10,10,0,50,18,6.6695
sub_873,Veh-Veh,A_Veh_Veh,0,20,10,0,100,7,4.946166667
sub_873,Veh-Veh,A_Veh_Veh,0,40,10,0,200,8,8.385
sub_873,Veh-Veh,A_Veh_Veh,0,80,9,1,341,7,13.85616667
sub_873,.1Hal - Veh,B_Hal_Veh,0,10,10,0,50,7,6.304
sub_873,.1Hal - Veh,B_Hal_Veh,0,20,10,0,100,9,8.733833333
sub_873,.1Hal - Veh,B_Hal_Veh,0,40,6,4,51,9,19.26066667
sub_873,.1Hal - Veh,B_Hal_Veh,0,80,7,3,180,11,22.59366667
sub_873,.1Hal - .125KW,C_Hal_.125KW,0,10,10,0,50,15,6.180666667
sub_873,.1Hal - .125KW,C_Hal_.125KW,0,20,9,1,82,15,15.96033333
sub_873,.1Hal - .125KW,C_Hal_.125KW,0,40,6,4,53,16,20.24266667
sub_873,.1Hal - .125KW,C_Hal_.125KW,0,80,5,5,6,17,21.09283333
sub_873,.1Hal-.5KW,D_Hal_.5KW,0,10,9,1,50,45,8.771166667
sub_873,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,10,7.4325
sub_873,.1Hal-.5KW,D_Hal_.5KW,0,40,9,1,162,24,12.97266667
sub_873,.1Hal-.5KW,D_Hal_.5KW,0,80,5,5,38,12,21.80033333
